iter	Passed	Remaining
0	90	108869
1	173	104163
2	264	105561
3	339	101562
4	420	100452
5	490	97574
6	566	96546
7	656	97802
8	737	97633
9	820	97668
10	897	97023
11	960	95124
12	1041	95129
13	1116	94607
14	1193	94291
15	1265	93638
16	1346	93706
17	1428	93772
18	1507	93672
19	1582	93357
20	1661	93274
21	1736	92992
22	1818	93036
23	1897	92979
24	1970	92636
25	2044	92299
26	2131	92612
27	2214	92694
28	2294	92660
29	2376	92702
30	2461	92807
31	2548	93008
32	2622	92742
33	2701	92638
34	2786	92751
35	2862	92567
36	2937	92347
37	3008	91984
38	3092	92048
39	3163	91753
40	3239	91575
41	3323	91637
42	3404	91601
43	3481	91472
44	3561	91418
45	3663	91898
46	3738	91707
47	3829	91914
48	3924	92181
49	4016	92368
50	4104	92468
51	4183	92362
52	4270	92427
53	4350	92330
54	4425	92133
55	4504	92022
56	4579	91840
57	4671	91975
58	4753	91928
59	4843	92020
60	4921	91898
61	5012	91996
62	5095	91958
63	5172	91819
64	5250	91685
65	5327	91532
66	5422	91689
67	5512	91759
68	5611	91971
69	5689	91843
70	5777	91877
71	5863	91867
72	5957	91978
73	6067	92327
74	6165	92475
75	6267	92700
76	6357	92722
77	6449	92778
78	6551	92968
79	6646	93052
80	6736	93057
81	6827	93092
82	6916	93078
83	7013	93173
84	7101	93151
85	7193	93182
86	7287	93226
87	7373	93173
88	7472	93274
89	7553	93156
90	7656	93312
91	7745	93283
92	7820	93093
93	7926	93257
94	8009	93157
95	8099	93139
96	8176	92970
97	8273	93029
98	8367	93052
99	8460	93065
100	8559	93137
101	8650	93118
102	8744	93131
103	8840	93168
104	8916	92985
105	8995	92845
106	9090	92856
107	9185	92880
108	9272	92811
109	9349	92648
110	9433	92547
111	9511	92393
112	9589	92249
113	9678	92197
114	9757	92059
115	9846	92018
116	9941	92022
117	10035	92024
118	10120	91931
119	10224	92020
120	10329	92111
121	10417	92051
122	10501	91949
123	10594	91934
124	10680	91850
125	10769	91797
126	10855	91719
127	10941	91638
128	11044	91696
129	11133	91636
130	11221	91572
131	11342	91767
132	11449	91854
133	11551	91897
134	11649	91898
135	11734	91808
136	11826	91766
137	11919	91729
138	12006	91643
139	12100	91620
140	12184	91515
141	12270	91421
142	12365	91402
143	12467	91427
144	12554	91343
145	12646	91296
146	12723	91139
147	12813	91076
148	12893	90946
149	12980	90866
150	13068	90786
151	13163	90755
152	13261	90752
153	13358	90735
154	13436	90590
155	13522	90496
156	13601	90357
157	13677	90199
158	13771	90167
159	13854	90052
160	13950	90030
161	14037	89946
